,City,Movehub Rating,Purchase Power,Health Care,Pollution,Quality of Life,Crime Rating,lat,lng,continent
0,Caracas,65.18,11.25,44.44,83.45,8.61,85.7,10.480593699999998,-66.90360629999999,America
1,Johannesburg,84.08,53.99,59.98,47.39,51.26,83.93,-26.2041028,28.047305100000003,Africa
2,Fortaleza,80.17,52.28,45.46,66.32,36.68,78.65,-3.7327144,-38.5269981,America
3,Saint Louis,85.25,80.4,77.29,31.33,87.51,78.13,38.6270025,-90.1994042,Error
4,Mexico City,75.07,24.28,61.76,18.95,27.91,77.86,19.4326077,-99.133208,America
5,Detroit,70.63,73.81,63.05,83.45,50.99,76.69,42.331427000000005,-83.0457538,America
6,Porto Alegre,70.46,19.07,51.01,86.16,31.87,76.46,-30.0346471,-51.2176584,America
7,Noida,82.34,57.88,56.34,89.1,42.7,75.0,28.535516100000002,77.3910265,Asia
8,Karachi,67.81,14.63,51.57,69.63,18.5,74.36,24.8607343,67.0011364,Asia
9,Rotterdam,80.68,50.9,63.26,20.36,67.77,74.27,51.9244201,4.4777325999999995,Europe
10,Nairobi,71.12,15.82,61.34,39.16,14.36,71.88,-1.2920658999999999,36.821946200000006,Africa
11,Las Vegas,84.88,80.46,66.52,59.73,60.5,70.57,36.169941200000004,-115.13982959999998,America
12,Kuala Lumpur,77.88,37.09,56.21,69.65,42.4,68.91,3.1390029999999998,101.68685500000001,Asia
13,Philadelphia,83.31,68.77,54.17,38.64,65.53,68.58,39.9525839,-75.1652215,America
14,Cape Town,87.95,60.36,71.67,75.98,78.73,68.06,-33.9248685,18.424055300000003,Africa
15,Pretoria,80.56,46.74,71.11,70.13,61.44,68.06,-25.7478676,28.2292712,Africa
16,Rio De Janeiro,73.44,22.13,61.67,84.51,21.32,67.93,-22.9068467,-43.1728965,Error
17,Manila,68.31,14.8,80.56,65.22,13.14,66.36,14.599512400000002,120.98421950000001,Asia
18,Sao Paulo,75.4,24.24,63.79,72.04,30.57,66.31,-23.550519899999998,-46.63330939999999,America
19,Los Angeles,86.86,62.75,68.61,75.2,62.82,65.74,34.0522342,-118.24368490000002,America
20,Gurgaon,77.88,37.08,77.18,27.78,42.77,65.51,28.459496500000004,77.02663829999999,Asia
21,Lima,73.19,23.22,53.7,58.49,22.67,65.31,-12.0463731,-77.042754,America
22,Miami,84.43,57.79,64.44,22.45,74.77,64.85,25.7616798,-80.1917902,America
23,Lodz,73.32,26.37,53.21,37.21,46.29,64.51,51.7592485,19.4559833,Europe
24,Rome,79.07,32.72,61.64,19.84,26.8,62.34,41.902783500000005,12.4963655,Europe
25,Santo Domingo,74.6,28.82,62.5,18.59,41.88,62.19,18.4860575,-69.93121169999999,America
26,Houston,85.24,71.96,79.44,65.21,74.08,61.72,29.7604267,-95.36980279999999,America
27,Tampa,84.27,75.72,56.94,49.89,80.75,60.73,27.950575,-82.4571776,America
28,Lagos,72.47,14.91,62.04,26.63,19.48,60.44,6.5243793,3.3792057,Africa
29,Glasgow,84.23,85.0,90.55,0.0,80.0,60.0,55.864237,-4.251806,Error
30,Dallas,84.71,76.18,69.99,83.89,80.56,59.9,32.7766642,-96.7969879,America
31,Buenos Aires,77.29,29.29,79.17,47.26,39.78,59.46,-34.6036844,-58.381559100000004,America
32,Dhaka,71.58,21.32,20.83,62.14,13.48,59.06,23.810332,90.4125181,Asia
33,Baltimore,84.28,78.78,72.08,77.98,82.0,58.85,39.2903848,-76.6121893,America
34,Athens,76.78,26.05,46.11,27.44,30.57,57.49,37.9838096,23.7275388,Europe
35,Saint Petersburg,73.1,24.82,46.34,77.98,25.97,56.96,59.931058400000005,30.360909600000003,Europe
36,Naples,76.27,35.38,41.67,12.01,42.92,56.67,40.87613410000001,14.5198315,Europe
37,Milan,81.9,43.43,71.36,22.09,40.8,56.2,45.464203499999996,9.189982,Europe
38,Atlanta,84.92,80.83,61.11,63.09,80.51,56.04,33.7489954,-84.3879824,America
39,Orlando,84.39,71.07,76.01,70.75,82.33,55.07,28.5383355,-81.3792365,America
40,Chicago,83.01,66.77,62.92,22.98,80.71,54.52,41.8781136,-87.62979820000001,America
41,Geneva,83.27,61.22,74.88,29.43,82.76,54.36,46.2043907,6.143157700000001,America
42,Kiev,69.98,18.88,36.48,67.36,24.05,54.19,50.4501,30.5234,Error
43,Tehran,72.13,18.09,43.98,87.62,14.33,54.16,35.6891975,51.3889736,Asia
44,Brussels,84.8,54.41,81.35,6.79,65.42,53.79,50.8503396,4.3517103,Europe
45,Paris,95.92,47.08,83.33,59.18,52.62,53.75,48.856614,2.3522218999999995,Europe
46,Kharkiv,68.99,17.11,35.06,67.05,30.76,53.75,49.9935,36.230383,Europe
47,Moscow,76.35,24.94,42.3,30.03,18.65,53.19,55.755826,37.6172999,Europe
48,Delhi,77.12,34.39,74.99,73.03,42.45,52.56,28.7040592,77.10249019999998,Asia
49,Lahore,67.32,12.45,48.94,30.55,28.52,51.98,31.5203696,74.35874729999998,Asia
50,Hanoi,66.77,12.22,20.83,24.02,5.29,51.81,21.0277644,105.8341598,Asia
51,Cordoba,73.76,27.56,75.24,48.76,47.68,51.56,37.8881751,-4.7793835,America
52,Washington,81.74,56.61,64.44,30.55,76.92,51.43,47.751074100000004,-120.7401385,Europe
53,San Antonio,83.76,74.78,60.97,59.19,84.88,51.41,29.4241219,-98.4936282,America
54,Christchurch,83.36,47.1,83.86,22.2,76.6,51.3,-43.5319957,172.6396575,Europe
55,Bangalore,77.92,38.67,69.38,80.94,52.11,51.03,12.9715987,77.5945627,Error
56,Belo Horizonte,71.79,21.77,57.26,59.73,36.26,50.99,-19.9166813,-43.934493100000005,America
57,Auckland,86.43,49.02,71.85,30.03,66.98,50.38,-36.84830480000001,174.76248859999998,Pacific
58,Montevideo,71.69,21.56,59.72,31.72,44.63,50.16,-34.901112700000006,-56.16453139999999,America
59,London,100.0,53.17,69.53,57.95,47.89,50.14,51.5073509,-0.12775830000000002,America
60,Perth,95.38,62.11,80.56,23.53,74.62,50.01,-31.950526899999996,115.8604572,Australia
61,Muscat,86.3,77.16,62.5,64.65,58.99,50.0,23.5880307,58.38287170000001,Asia
62,Gaborone,75.32,30.98,27.78,30.55,31.77,50.0,-24.6282079,25.9231471,Africa
63,Colombo,72.52,20.18,75.0,33.59,26.68,50.0,6.927078599999999,79.861243,America
64,Cairo,67.93,11.9,56.48,86.16,17.25,48.81,30.0444196,31.235711600000005,Africa
65,Melbourne,92.58,55.48,76.67,30.28,68.99,48.75,-37.813627600000004,144.96305759999998,Australia
66,Quito,67.15,14.24,32.41,14.76,46.43,48.36,-0.1806532,-78.4678382,America
67,Dublin,90.45,50.13,41.12,30.54,65.27,48.31,53.34980529999999,-6.2603097000000005,Europe
68,Jakarta,69.15,17.38,38.33,57.91,15.66,48.27,-6.2087634000000005,106.84559899999999,Asia
69,Sofia,71.97,23.03,51.43,26.63,37.72,48.26,42.69770820000001,23.3218675,Europe
70,Tirana,69.78,17.8,44.44,80.84,36.81,47.99,41.3275459,19.8186982,Europe
71,Beijing,74.17,22.97,58.9,57.18,25.69,47.61,39.90419989999999,116.4073963,Asia
72,Birmingham,80.85,46.41,75.23,66.53,75.4,47.51,33.5185892,-86.8103567,Europe
73,New York,90.53,55.56,51.39,12.01,61.94,47.33,40.7127753,-74.0059728,Error
74,Lyon,84.78,56.05,88.65,37.21,71.13,47.27,45.764043,4.835659,Europe
75,Nice,82.55,49.52,87.95,59.19,68.34,47.27,43.710172799999995,7.2619532000000016,Europe
76,Toulouse,82.1,54.47,81.01,36.23,66.66,47.27,43.604652,1.444209,Europe
77,Strasbourg,84.18,72.23,42.81,39.91,66.5,47.27,48.5734053,7.752111299999998,Europe
78,Marseille,81.62,57.05,77.53,25.59,59.87,47.27,43.296482,5.36978,Europe
79,Cebu,66.93,12.9,73.7,35.9,41.21,46.88,10.3156992,123.88543659999999,Error
80,Ulaanbaatar,68.29,15.35,43.06,55.87,24.5,46.87,47.88639879999999,106.9057439,Error
81,Amman,74.4,21.22,75.37,61.63,39.57,46.74,31.9539494,35.910635,Asia
82,Haifa,78.84,44.03,72.69,29.86,52.08,46.59,32.7940463,34.989571000000005,Asia
83,Jerusalem,78.28,37.22,79.4,64.44,50.87,46.59,31.768319,35.21371,Asia
84,Curitiba,76.15,34.97,59.03,33.59,58.67,46.27,-25.428954100000002,-49.267137,America
85,Medellin,70.14,19.2,85.88,37.27,39.7,46.02,6.2476376,-75.56581530000003,America
86,Bogota,70.6,14.52,73.89,14.54,29.33,46.02,4.7109885999999985,-74.072092,America
87,Brisbane,87.63,53.72,88.89,22.19,77.07,45.84,-27.469770699999998,153.0251235,Australia
88,Pattaya,70.69,19.51,91.46,29.86,46.01,45.52,12.923555699999998,100.8824551,Error
89,Antalya,71.91,22.91,59.55,30.55,40.51,44.53,36.8968908,30.7133233,Europe
90,Nottingham,80.42,53.57,79.63,24.54,75.88,44.38,52.95478319999999,-1.1581086,Europe
91,Honolulu,81.31,58.54,57.03,30.28,79.58,44.14,21.3069444,-157.8583333,Pacific
92,Alicante,82.83,44.69,75.61,28.19,72.53,44.01,38.345996299999996,-0.49068549999999994,Europe
93,Kolkata,75.35,28.8,31.29,72.59,25.64,43.33,22.572646,88.36389500000001,Asia
